"file","status","exit_code","err_summary"
".\Good_Codes\20.py","ok","0","D:\Capstone\Codes\Good_Codes\20.py:112: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\21_2.py","ok","0","D:\Capstone\Codes\Good_Codes\21_2.py:113: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\adapative_code.py","ok","0","D:\Capstone\Codes\Good_Codes\adapative_code.py:109: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\assignment.py","ok","0","D:\Capstone\Codes\Good_Codes\assignment.py:81: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\codes\2.py","ok","0","D:\Capstone\Codes\Good_Codes\codes\2.py:192: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\codes\31_03.py","ok","0",""
".\Good_Codes\codes\DMAS_final.py","ok","0","D:\Capstone\Codes\Good_Codes\codes\DMAS_final.py:173: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\codes\DMAS_reconstruction.py","ok","0","D:\Capstone\Codes\Good_Codes\codes\DMAS_reconstruction.py:114: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\codes\for_noisy_data.py","ok","0","D:\Capstone\Codes\Good_Codes\codes\for_noisy_data.py:154: UserWarning: This figure includes Axes that are not compatible with tight_layout, so results might be incorrect. || D:\Capstone\Codes\Good_Codes\codes\for_noisy_data.py:156: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\fbp_updated.py","ok","0","D:\Capstone\Codes\Good_Codes\fbp_updated.py:104: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\images.py","ok","0","D:\Capstone\Codes\Good_Codes\images.py:90: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\main.py","ok","0","D:\Capstone\Codes\Good_Codes\main.py:132: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\ubp_updated.py","ok","0","D:\Capstone\Codes\Good_Codes\ubp_updated.py:108: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\Good_Codes\updated_code.py","ok","0","D:\Capstone\Codes\Good_Codes\updated_code.py:108: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
