"file","status","exit_code","err_summary"
".\24_03.py","error","1","Traceback (most recent call last): ||     return codecs.charmap_encode(input,self.errors,encoding_table)[0]"
".\30_03.py","error","1","Traceback (most recent call last): ||     return codecs.charmap_encode(input,self.errors,encoding_table)[0]"
".\31_03.py","error","1","Traceback (most recent call last): || KeyError: 'S'"
".\codes\1_04.py","error","1","Traceback (most recent call last): ||     return codecs.charmap_encode(input,self.errors,encoding_table)[0]"
".\codes\1_04_2.py","error","1","Traceback (most recent call last): ||     return codecs.charmap_encode(input,self.errors,encoding_table)[0]"
".\codes\4_04.py","error","1","Traceback (most recent call last): ||     return codecs.charmap_encode(input,self.errors,encoding_table)[0]"
".\freshcode.py","error","1","Traceback (most recent call last): ||     return codecs.charmap_encode(input,self.errors,encoding_table)[0]"
".\new_code.py","error","1","Traceback (most recent call last): ||     return codecs.charmap_encode(input,self.errors,encoding_table)[0]"
".\sbr_analysis.py","error","1","Traceback (most recent call last): || FileNotFoundError: [Errno 2] No such file or directory: '/mnt/user-data/outputs/sbr_detailed_analysis.png'"
".\20.py","ok","0","D:\Capstone\Codes\20.py:112: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\21_2.py","ok","0","D:\Capstone\Codes\21_2.py:113: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\adapative_code.py","ok","0","D:\Capstone\Codes\adapative_code.py:109: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\assignment.py","ok","0","D:\Capstone\Codes\assignment.py:81: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\codes\2.py","ok","0","D:\Capstone\Codes\codes\2.py:192: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\codes\31_03.py","ok","0",""
".\codes\DMAS_final.py","ok","0","D:\Capstone\Codes\codes\DMAS_final.py:173: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\codes\DMAS_reconstruction.py","ok","0","D:\Capstone\Codes\codes\DMAS_reconstruction.py:114: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\codes\for_noisy_data.py","ok","0","D:\Capstone\Codes\codes\for_noisy_data.py:154: UserWarning: This figure includes Axes that are not compatible with tight_layout, so results might be incorrect. || D:\Capstone\Codes\codes\for_noisy_data.py:156: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\fbp_updated.py","ok","0","D:\Capstone\Codes\fbp_updated.py:104: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\images.py","ok","0","D:\Capstone\Codes\images.py:90: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\main.py","ok","0","D:\Capstone\Codes\main.py:132: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\ubp_updated.py","ok","0","D:\Capstone\Codes\ubp_updated.py:108: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\updated_code.py","ok","0","D:\Capstone\Codes\updated_code.py:108: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown"
".\photoacoustic_reconstruction.py","timeout","124",""
